tier,symbol,company_name,sector,sector_etf,sector_change_pct,stock_vs_sector_pct,sector_vs_spy_pct,sector_status,sector_score,price,change_pct,score,base_score,ext_penalty,regime_penalty,risk_category,is_earnings_reaction,catalyst,momentum,execution,squeeze,strength,technical,participation,social,short_pct,float_M,days_to_cover,atr_pct,dollar_vol_M,market_cap_B,days_to_earnings,tags,intraday_score,intraday_last_price,price_source,price_updated_at,vwap,vwap_dist_pct,above_vwap,hod,lod,from_hod_pct,near_hod,intraday_volume,data_source,catalyst_label,catalyst_sentiment,catalyst_score,catalyst_headline,catalyst_source,catalyst_time,risk_flags,setup_bucket
2,OUST,"Ouster, Inc.",Technology,XLK,0.94,25.15,0.38,IMPROVING,2,34.18,26.09,61,64,-10,0,EXTENDED,False,0,17,14,2,14,12,5,0,8.540000000000001,61.0,2.7,9.6,135.9,2.18,—,📰 Company-specific news · Above VWAP extended · Upper range · Consolidating · Far above VWAP · ⚠️ EXTENDED · Major move +26.1% · RVOL 3.7x,5.0,34.18,Alpaca IEX,2026-05-13T19:59:00Z,30.8393,10.83,True,34.9,27.89,-2.06,False,592042.0,Yahoo + Alpaca IEX,Company-specific fresh news,NEUTRAL,0.0,Why Is Ouster Stock Surging On Wednesday?,benzinga,2026-05-13T18:36:27Z,,EXTENDED_CHASE_RISK
2,VNET,"VNET Group, Inc.",Technology,XLK,0.94,24.11,0.38,IMPROVING,2,11.27,25.06,59,67,-10,0,EXTENDED,False,0,20,17,5,11,9,5,0,21.790001,818.7,7.0,5.64,94.8,3.21,—,📰 Company-specific news · ⚠️ EXTENDED · Major move +25.1% · Vol surge 5.2x · RVOL 7.6x · $95M liq · ATR 5.6% (clean) · Clean price,0.0,11.27,Alpaca IEX,2026-05-13T19:59:00Z,11.4054,-1.19,False,12.01,10.92,-6.16,False,2974705.0,Yahoo + Alpaca IEX,Company-specific fresh news,NEUTRAL,0.0,What's Going On With VNET Stock On Wednesday?,benzinga,2026-05-13T15:30:01Z,,EXTENDED_CHASE_RISK
2,MEI,"Methode Electronics, Inc.",Technology,XLK,0.94,47.24,0.38,IMPROVING,2,13.9,48.18,58,58,-10,0,EXTENDED,False,0,20,7,2,15,9,5,0,4.95,34.9,3.2,6.88,15.0,0.49,—,Above VWAP · ⚠️ EXTENDED · Major move +48.2% · Vol surge 9.4x · RVOL 11.7x · ATR 6.9% (clean) · Clean price,8.0,13.9,Alpaca IEX,2026-05-13T19:59:00Z,13.6721,1.67,True,15.53,9.74,-10.5,False,345701.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,EXTENDED_CHASE_RISK
3,REPL,"Replimune Group, Inc.",Healthcare,XLV,0.59,28.99,0.03,NEUTRAL,0,5.3,29.58,48,46,-10,0,EXTENDED,False,0,12,2,6,13,8,5,0,45.92,62.9,2.1,10.19,44.2,0.44,—,Above VWAP · Upper range · Consolidating · ⚠️ EXTENDED · Major move +29.6% · Lower-price tradable · SI 46%,12.0,5.3,Alpaca IEX,2026-05-13T19:59:00Z,5.1066,3.79,True,5.42,3.95,-2.21,False,790715.0,Yahoo + Alpaca IEX,No confirmed company-specific catalyst,NONE,0.0,,,,,EXTENDED_CHASE_RISK
—,RVI,Robinhood Ventures Fund I,Financial Services,XLF,-1.11,38.92,-1.67,WEAK,-2,73.71,37.8,27,39,-10,0,EXTENDED,False,0,20,14,0,0,0,5,0,0.0,0.0,0.3,7.63,67.4,2.01,—,⚠️ EXTENDED · Major move +37.8% · Vol surge 4.6x · RVOL 4.6x · $67M liq · Clean price · Accumulating 2.3x,,,,,,,,,,,,,,,,,,,,,EXTENDED_CHASE_RISK
—,WIX,Wix.com Ltd.,Technology,XLK,0.94,-28.04,0.38,IMPROVING,0,55.32,-27.1,25,35,-10,0,EXTENDED,False,0,17,11,4,0,3,0,0,15.770000000000001,46.8,2.9,10.75,109.1,3.23,—,⚠️ EXTENDED · Major move -27.1% · RVOL 5.5x · $109M liq · Clean price · Float 47M · Gap -26.4%,,,,,,,,,,,,,,,,,,,,,EXTENDED_CHASE_RISK
